"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:6wOJ0H5NRT6P45LKqyjlah","Canto a los ojos negros de una mujer española - 2015 Remaster","spotify:artist:1RV8jUtBYlqrVqX4uqPhoJ","Manolo Otero","spotify:album:4jhCjSqqpVmdXFgrePjYB3","Manolo Otero (Remastered 2015)","spotify:artist:1RV8jUtBYlqrVqX4uqPhoJ","Manolo Otero","1975","https://i.scdn.co/image/ab67616d0000b2732d378c5e5d4b39ebe3f79f46","1","8","185640","https://p.scdn.co/mp3-preview/24a8aa6364214bd283611ec2f28cbac1509c94b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","ES5151402891","","2026-02-04T20:55:55Z"
"spotify:track:5gfuPRh2118jWEhuH1tdHw","Bossa Per Due","spotify:artist:5dUI54FMDxPqaXbNs4kLpB","Nicola Conte","spotify:album:6F3UXNn8wgohPOjP2QNb4a","Jet Sounds","spotify:artist:5dUI54FMDxPqaXbNs4kLpB","Nicola Conte","2000","https://i.scdn.co/image/ab67616d0000b27364036375c19744cffa77b60f","1","2","352182","https://p.scdn.co/mp3-preview/bde987e9ef36cacb261ae272bfab60ab76a756d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","ITO0P0000778","","2026-02-04T20:31:33Z"
"spotify:track:0VJX2Cxisf3BHciKl5BuRm","Wanderlove","spotify:artist:7kQFwkR1mTWfGdtZfcvrZP","Claudine Longet","spotify:album:6eUxnGVDnws6EWuzaNS39C","Claudine","spotify:artist:7kQFwkR1mTWfGdtZfcvrZP","Claudine Longet","1967-04-08","https://i.scdn.co/image/ab67616d0000b2739e79c726a3075ebf2b176480","1","6","156866","","false","14","USUM70500619","","2026-02-04T20:29:01Z"
"spotify:track:7cWDyKvO0H6ZmNcdG8dLss","Qu'ils sont heureux - Stereo Mix","spotify:artist:7x3f7c0fBanNlQwpx1255g","Françoise Hardy","spotify:album:6wL2BwdAK1IdaaxmTXrwB8","Françoise (La maison où j'ai grandi)","spotify:artist:7x3f7c0fBanNlQwpx1255g","Françoise Hardy","1966-06-30","https://i.scdn.co/image/ab67616d0000b273220a42d372a5aaf9c53ca887","1","9","141000","https://p.scdn.co/mp3-preview/9a53fcdbf937a04e53cf626bd4736fff42347e5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","FRZ196600810","","2026-02-04T20:21:32Z"
"spotify:track:6SSFmnGKpR6VWTWiixyQ0f","Take My Heart","spotify:artist:3MD07g2Dst4msLqyoQK3W2","George Saxon","spotify:album:74NX6hKBv2nMB7erroCUXX","A Saxophone Around The World - 9a Raccolta","spotify:artist:3MD07g2Dst4msLqyoQK3W2","George Saxon","2024-02-16","https://i.scdn.co/image/ab67616d0000b27314796898881a9820cb585d17","1","4","181893","https://p.scdn.co/mp3-preview/7605f3c9f6db254b6273064711925a2215eda5ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","ITN731001729","","2026-02-04T13:49:31Z"
"spotify:track:6r5f1Ce2lRIjSFU439Zjdf","Eclipse","spotify:artist:5jrcv7m3TKzNz35ngOUMpB","Gianni Fallabrino e la sua orchestra","spotify:album:6JiAjb3fjFt8Anv5YczDV0","Music for Sensations","spotify:artist:5jrcv7m3TKzNz35ngOUMpB","Gianni Fallabrino e la sua orchestra","1977","https://i.scdn.co/image/ab67616d0000b273a2a8f128c450a93a845cec77","1","8","181720","https://p.scdn.co/mp3-preview/ec9c08e77ef197ddef43f50232c623ea22622ce7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ITQSC1600761","","2026-02-04T13:11:58Z"
"spotify:track:0QuHhqtMFRoshprdrKnasd","Picasso Blue","spotify:artist:5NmHYphEyVeNxopdYctRyJ","André Popp","spotify:album:14IhTZx6RojWxji5dAtf0p","Mon cinéma à moi","spotify:artist:5NmHYphEyVeNxopdYctRyJ","André Popp","1974-01-01","https://i.scdn.co/image/ab67616d0000b273a6d0331b499500ee8898d3b2","1","2","184200","","false","2","FR9W17400073","","2026-02-03T19:30:53Z"
"spotify:track:6VlXBwTFblQaccTqKa5QWp","Le città del mondo","spotify:artist:1ypWQlhTrJkD3xnVlbZsQ7","Filippo Trecca","spotify:album:2liWWn5FyOivfQQYBrYNBi","Le città del mondo (Colonna sonora del film TV ""Le città del mondo"")","spotify:artist:1ypWQlhTrJkD3xnVlbZsQ7","Filippo Trecca","1975-01-01","https://i.scdn.co/image/ab67616d0000b273cc51b64ebe8f2feef8fb827c","1","1","206877","https://p.scdn.co/mp3-preview/f32f0680832a88e177b91b03456d6141b2e5fde2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ITC047500088","","2026-02-03T12:26:28Z"
"spotify:track:62JsByzyPD0sxsx3Z2DnqI","La Tabaquera","spotify:artist:5RwfJb8wxN1fuodcPORVxP","José Luis Perales","spotify:album:76BfWcR9EHcvRJaxKA4V4t","Para vosotros canto","spotify:artist:5RwfJb8wxN1fuodcPORVxP","José Luis Perales","1975","https://i.scdn.co/image/ab67616d0000b2736c722a34d79fdc8dd46e9d9b","1","9","206880","https://p.scdn.co/mp3-preview/0fd18994b8fa1c5954be7efbaee5b2306b430ff6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","ES5088103235","","2026-02-03T00:01:52Z"
"spotify:track:66ELEVRlZzcOx3V55qYY5F","Bring You A Ring","spotify:artist:4dwDVC6lrMINxVBxETE1AB","Aaron Frazer","spotify:album:5BsO8y5Kd9RfIRRpCY8OhZ","Bring You A Ring","spotify:artist:4dwDVC6lrMINxVBxETE1AB","Aaron Frazer","2023-09-06","https://i.scdn.co/image/ab67616d0000b273cf36c2caea00912af8fd0bff","1","1","186710","https://p.scdn.co/mp3-preview/aecc6423edd92b9990a2f032ae46af927a244530?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","USJ5G2334901","","2026-02-01T17:15:32Z"
"spotify:track:4p7BPgELgsy3Ldr5QAL089","Wildflower","spotify:artist:0hirZ8kPPdM9pzXpoagB4w","Marlena Shaw","spotify:album:5aGcD2wxWiTrFC91qQigjL","From The Depths Of My Soul","spotify:artist:0hirZ8kPPdM9pzXpoagB4w","Marlena Shaw","1973-01-01","https://i.scdn.co/image/ab67616d0000b2732a6a6b35008face8e4d1c2f2","1","7","245226","","false","4","USBN20800968","","2026-02-01T12:02:34Z"
"spotify:track:76AdkBr6hJ18ThN2GjDCrP","Tema Pro Alvarito","spotify:artist:5jnhQmrwuwTgOfkp3Sx2vX, spotify:artist:5IeAg6SlVc8ig4WgQSgfpW","Guilherme Coutinho, Grupo Stalo","spotify:album:6RHdTckTCSnGxSD9dAHSe2","Guilherme Coutinho E O Grupo Stalo","spotify:artist:5jnhQmrwuwTgOfkp3Sx2vX, spotify:artist:5IeAg6SlVc8ig4WgQSgfpW","Guilherme Coutinho, Grupo Stalo","1978","https://i.scdn.co/image/ab67616d0000b2736abdd79eaf732a2e36b759ca","1","8","446395","https://p.scdn.co/mp3-preview/ac7bde1056874ea5267b46f50a0172070f7d059f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","GBCLQ2200663","","2026-01-31T20:51:57Z"
